Year-Month,GDP (in billions),Per Capita Income,Unemployment Rate (%),Annual Income,Poverty Rate (%),Education Level (years),Population,Urbanization Rate (%)
2021-03-01,18072.529582014507,23887.05975083074,8.95974206093698,31275.527795608483,18.315562741374496,13.76534848050438,564579.7075757475,68.95846561051489
2021-04-01,12522.152133532209,44600.28906796679,6.089529444142698,36611.00725291499,10.26372518828118,13.505885871538602,977025.5136293612,76.70230954084109
2021-05-01,1174.7439807159633,59602.15400417053,3.7329432007084575,77810.47413914498,6.756005246414087,15.406948062945933,803087.3172254399,56.89279484806519
2021-06-01,2927.9593144546097,25603.36060946096,3.5643704267108607,34983.20539221603,7.144875230792538,10.272678282048748,614321.4027517313,57.69156075234683
2021-07-01,13606.53361305306,40733.18609454947,4.502428981645953,52328.294120563296,16.42265947576208,11.685779137553382,835850.3422029284,51.63474465065916
2021-08-01,1096.170093078155,55094.92287711822,7.4922666470612045,89141.27176786182,14.273270949743916,15.702468904459352,809064.1202289478,56.75740252288658
2021-09-01,4055.3529769324746,49630.744710168176,9.145959227000624,31629.03550150781,6.516840141841854,15.341582703345498,679081.3590164203,61.14361356127834
2021-10-01,11425.941997965136,47880.62963981072,8.601973767177313,87012.79378122551,6.261602091724962,12.733940516714277,556778.7960998145,57.08041937106987
2021-11-01,14146.008756161173,48099.36335948437,4.799338969459429,49729.83423413799,15.5145369718868,13.72079558680922,835786.5977963998,53.548101350282224
2021-12-01,13387.26393054941,34379.64604879021,11.54865280663194,38271.53793351594,6.091445095462903,11.664287097886795,760153.8504518967,54.82543484402403
2022-01-01,5261.116879750636,31743.673770579735,9.378969166957685,78771.60157549055,17.32790088935534,11.128726958342568,886159.1958678197,68.43115072130902
2022-02-01,14531.405205603181,52374.44621914055,7.543540525114007,74025.99927459189,15.593633407347443,12.782190429639893,760081.7505559967,58.2533487362317
2022-03-01,5507.732662439202,52404.53578716723,8.117207462343522,91423.04094689371,6.2202317096284965,12.120113368156318,926090.7501592701,64.57079444192301
2022-04-01,7182.594265026087,54682.892743204146,6.196000624277899,81454.97306627201,6.2725657112778785,13.501936671105232,775953.4193872428,70.13669083419427
2022-05-01,15183.33669724246,56529.62210225885,4.477309895011574,86243.66512693939,19.79959367751763,10.46640782178991,780468.9857676931,77.61579314517462
2022-06-01,13343.025081897078,40453.69595443751,5.559726786512616,49742.420079991454,10.614061936341805,15.846368845996999,938326.8013291724,51.57248559364396
2022-07-01,17135.24479938938,40060.65178748798,9.57846110464369,42420.768064580596,10.559632206003364,15.917264466877617,701741.4331061986,81.9764159563617
2022-08-01,13494.644953706524,51931.80715867101,2.1439348862975587,82543.03261486009,17.191993508862538,14.18897028411847,567007.6142253204,75.11601557963631
2022-09-01,11797.86346337396,45998.55723111061,3.1607264050691626,86478.43174870848,19.20872866075788,13.216578198064722,514391.33815666946,53.270361277954876
2022-10-01,2779.820588733757,48078.675090308134,2.4600264202175275,99335.35994004713,19.790015957343066,11.857165697717967,877568.6278368095,84.94314496427108
2022-11-01,7986.600258129237,51831.706777444044,2.407288023189701,58883.23738379985,16.300672778884124,14.882770118241691,810154.7756767324,86.83489602127253
2022-12-01,6038.844985952784,55600.21367270265,10.554605840110073,56041.26600549482,10.643893782963737,14.108387035323275,852039.8840496119,52.44311839419455
2023-01-01,5635.803224202588,33519.80627406143,9.036578593800236,84348.90725193979,6.252510750480031,10.975701636069347,606482.0807544554,61.07510592588815
2023-02-01,19487.200540296464,35023.31810559776,6.741738290873252,53856.24781771125,16.65720373891155,15.465563106963055,568185.7377933848,82.24805119172245
2023-03-01,8468.856768668447,23759.27759363476,2.978341606510015,95153.01279224953,13.376063746037076,14.935223457539013,507272.332833941,79.93038761534633
2023-04-01,17948.884548365153,43131.20563984696,6.916158751168323,90088.89262901084,11.363330138704644,15.698799479751544,675293.7794032985,57.38084077425509
2023-05-01,12991.633893947996,21437.690951869685,6.734717707805657,60029.581916251285,18.59531577642104,14.35431705033016,794958.8434273165,58.37397293346841
2023-06-01,16101.41476729132,38623.920725298405,3.732018699100152,82560.97474540482,6.66796223459227,13.680491175614739,696122.0225498661,64.81888411165528
2023-07-01,10550.10476899865,41705.78538830306,6.33851649237973,82818.00118592777,12.389376564362887,12.509458217743713,718737.4610118645,69.38091940764085
2023-08-01,11961.173807900823,31461.650085131376,5.985047343973735,37218.67081851528,5.170304671511286,15.596370900124079,952079.3472468741,74.73019086121184
2023-09-01,10357.836182558414,43633.33042276043,8.158500980522165,93178.70346756966,12.029909629911895,15.19638333700245,674127.7335116502,64.75654558279089
2023-10-01,4709.616768162845,21220.009997561978,8.350936508676437,65367.66607135,5.8445491352275605,10.271312020637136,756994.7445799054,68.50138864532592
2023-11-01,14726.590189968601,21493.927549968575,2.453040097720445,87852.02262754191,6.782268744021079,10.158201846983513,891826.5063705716,79.89883752535026
2023-12-01,6334.6748863762605,52904.02242638633,5.746126146264713,52403.472072142824,6.762893701656573,12.258780201268298,698271.391160635,51.467328115623914
2024-01-01,1462.003362197623,34407.62565645052,8.258599157142363,92686.62599473403,14.738154531740953,14.863319984690998,811043.3501139367,60.09747777376083
2024-02-01,13263.973622236188,25082.420506075392,7.031362585800877,57244.11751139142,16.19067318898135,15.923656775889667,931181.8543733726,78.5339834353821
2024-03-01,4365.10290873393,40889.730402192174,10.564898411883222,30758.635603620885,13.750531476457395,10.902501346621168,974760.3118288211,85.80827350748797
2024-04-01,18868.713102705373,50799.74212394444,8.586936316189451,93376.73834934845,19.43258822711813,13.564784292112812,573536.740464519,70.46709768462665
2024-05-01,19124.64296304916,28632.841099873727,3.629344270814297,36390.06737502935,10.623058692855562,12.285345139786129,963293.8125807472,71.28453941061262
2024-06-01,18382.42341418852,44915.619032760005,2.705687474004298,52351.95463132904,9.28568129422791,15.819486386887618,746058.1465397691,54.28688045359104
2024-07-01,8033.015304853444,23413.89859975072,8.424192782063155,96504.33769355634,18.028986922841902,15.052713538814253,629122.1941494792,67.89649467293819
2024-08-01,1293.675714048481,22067.268846744308,2.2651131054162184,96542.50028562892,8.35393757779179,15.029972228266827,729567.8781191306,71.30469065820093
